operator IDs,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-04,Performance (24h) as of 2024-01-05,2024-01-0524h Operator Performance,2024-01-05 24h Operator Performance,2024-01-05,2024-01-10
68,99.84151349441176,99.84151349441176,99.83272387702733,99.83424899420133,99.79846484666179,99.79846465943683,99.79846465943683,99.798501265627,99.87352960095049
69,99.90531196643602,99.90531196643602,99.90813595709355,99.90918922006706,99.91037774762152,99.90868383476163,99.90868383476163,99.91038435314134,99.91471532666867
70,99.88235561471056,99.88235561471056,99.88485591554375,99.88559315382699,99.92579812430174,99.92747774233715,99.92747774233715,99.92747774233715,99.94708102417928
71,100,100,100,100,100,100,100,100,99.93471218183595
72,99.3392725330206,99.3392725330206,99.31926506847645,99.3092940929062,99.35837412450505,99.38343691694362,99.38343691694362,99.38855182281593,99.78228671789422
73,99.93876841649046,99.93876841649046,99.93876841649046,99.93876841649046,99.942536075502,99.94254299617975,99.94254299617975,99.9425651157671,99.59312918451114
74,99.93920480471297,99.93920480471297,99.9391611351414,99.93916113514139,99.94352319557262,99.94355850217805,99.94355850217805,99.94359121092954,99.77289590591174
75,99.70070207440135,99.70070207440135,99.70578978694864,99.70583291545394,99.72581075401669,99.71603524789869,99.71603524789869,99.71101908839256,99.49333759926627
76,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,99.78991596638656,99.78991596638656,99.78991596638656,99.78991596638656,100,100,100,100,100
80,100,100,100,100,100,100,100,100,100
81,98.73949579831933,98.73949579831933,98.73949579831933,98.73949579831933,96.56652360515021,96.98275862068965,96.98275862068965,96.98275862068965,100
82,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,100
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,98.28754105046679
86,0,0,0,0,0,0,0,0,0
87,99.58333333333333,99.58333333333333,99.58333333333333,99.58333333333333,99.13419913419914,99.13419913419914,99.13419913419914,99.13419913419914,99.83157820090062
88,0,0,0,0,0,0,0,0,100
89,99.58333333333333,99.58333333333333,99.58333333333333,99.58333333333333,100,100,100,100,99.74538671882074
90,0,0,0,0,100,100,100,100,100
91,0,0,0,0,0,0,0,0,0
92,100,100,100,100,100,100,100,100,100
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,99.57627118644068,99.57627118644068,99.57627118644068,99.57627118644068,96.08695652173913,96.08695652173913,96.08695652173913,96.08695652173913,100
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,0,0,0,0,0,0,0,0,99.84961132061639
106,0,0,0,0,0,0,0,0,99.87500918345248
107,0,0,0,0,0,0,0,0,100
108,0,0,0,0,0,0,0,0,99.95809739680757
109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,99.56709956709958,99.56709956709958,99.56709956709958,99.56709956709958,97.84482758620689,97.84482758620689,97.84482758620689,97.84482758620689,96.98275862068965
111,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,N/A,N/A,N/A,N/A,0,0,0,0,98.52941176470588
115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100
122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
174,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
179,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
186,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
230,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
267,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
275,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
289,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
308,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
